"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
3.833333,6.03541666666667,3.757575182,0.373361342,"2","1"
2.5,4.25617284,3.346428179,-1.80457982,"2","0"
3.55,8.520987655,3.583333,-1.80457982,"2","1"
3.266666,7.03787878833333,3.7799996,0.373361342,"2","1"
3.933333,7.36666666666667,3.8166665,0.373361342,"2","1"
3.85,6.70987654333333,3.912902516,0.808949574,"2","1"
3.653846,7.16904761833333,3.528571429,-0.497815123,"2","1"
1.7,5.469444445,2.939285286,0.373361342,"2","0"
3.972727,6.969444445,4,-1.368991587,"2","1"
3.623076,7.20308642,3.6999995,-0.497815123,"2","1"
3.66923,8.12440476166667,3.82,-0.497815123,"2","1"
3.875,6.8125,3.749999643,0.808949574,"2","1"
3.752941,6.15892857166667,3.818749563,1.244537807,"2","1"
3.230769,8.095238095,3.077418968,-0.497815123,"2","1"
3.95,8.08611111166667,3.856521391,-1.80457982,"2","1"
3.9,8.289285715,2.603447931,-0.497815123,"2","1"
4,6.394444445,3.913792345,0.373361342,"2","1"
3.566666,4.85757575833333,3.45999992,0.373361342,"2","1"
3.721428,6.184615385,3.315151182,-0.06222689,"2","1"
3.5,7.57843137333333,3.2799998,-1.80457982,"2","1"
3.5,5.93035714333333,3.3799998,0.373361342,"2","1"
3.233333,6.33611111166667,3.4156245,0.373361342,"2","1"
3.538461,7.05777777833333,3.675,-0.497815123,"2","1"
3.5,6.45072463833333,3.43999985,-1.80457982,"2","1"
3.033333,8.04333333333333,3.326086652,0.373361342,"2","1"
3.2,6.97833333333333,3.111110778,0.373361342,"2","1"
3.961538,6.808,3.8799998,-0.497815123,"2","1"
3.592307,5.98717948666667,3.621739,-0.497815123,"2","1"
3.966666,6.87166666666667,3.8666665,0.373361342,"2","1"
3.9,8.526785715,3.916666,0.373361342,"2","1"
3.933333,7.63333333333333,3.7,0.373361342,"2","1"
2.533333,7.53066666666667,3.333332556,0.373361342,"2","0"
3.964285,6.54197530833333,3.955172,-0.06222689,"2","1"
3.966666,6.551785715,3.579999833,-0.933403355,"2","1"
3.952941,6.77857142833333,3.913792862,1.244537807,"2","1"
3.55,6.03035714333333,3.458620069,-1.80457982,"2","1"
2.9,6.08141025666667,3.090624375,1.680126039,"2","0"
3.733333,7.27266666666667,3.725806129,0.373361342,"2","1"
3.833333,7.20952381,3.892856357,0.373361342,"2","1"
3.566666,6.65583333333333,3.72,0.373361342,"2","1"
3.766666,8.11785714333333,3.7999995,0.373361342,"2","1"
3.233333,7.675641025,3.316666,-0.933403355,"2","1"
3.744444,6.89464285666667,3.7499995,1.680126039,"2","1"
3.966666,7.17440476166667,4,0.373361342,"2","1"
3.483333,7.46474359,2.637930517,1.680126039,"2","1"
3.83125,7.25297619,3.645454394,0.808949574,"2","1"
3.4,6.482738095,3.299999586,0.373361342,"2","1"
3.8,6.24074074,3.910714143,0.373361342,"2","1"
2.866666,6.73958333333333,2.608695217,0.373361342,"2","0"
2.9,7.25724637666667,3.1999995,0.373361342,"2","0"
3.633333,7.28560606,3.08,0.373361342,"2","1"
3.87,7.02738095166667,3.865,0.041207105,"3","1"
3.29,7.23611111166667,3.458,-0.479500856,"3","1"
3.76,6.500694445,3.2928125,0.561915066,"3","1"
2.8,6.774305555,2.958275862,-1.000208817,"3","0"
3,7.66956521666667,2.625,0.041207105,"3","1"
3.25,6.90652173833333,3.05,0.041207105,"3","1"
2.68,5.95357142833333,2.822222222,-0.479500856,"3","0"
3.84,6.87692307666667,3.695517241,0.561915066,"3","1"
3.79,8.08580246833333,3.702,-1.520916778,"3","1"
3.51,7.969444445,2.865,0.561915066,"3","1"
3.35,7.6,3.078888889,-1.000208817,"3","1"
3.04,7.21547619,3.405,-1.520916778,"3","1"
3.89,6.702,3.688928571,-0.479500856,"3","1"
3.95,6.18703703666667,3.823235294,1.603330987,"3","1"
3.63,5.39047619,3.57,0.561915066,"3","1"
3.59,7.1375,3.726206897,1.603330987,"3","1"
3.07,5.823214285,2.98,0.041207105,"3","1"
3.7,7.260714285,3.775,0.041207105,"3","1"
3.47,7.48939394,3.500967742,0.561915066,"3","1"
3.33,6.46547619,2.947142857,1.082623027,"3","1"
3.3,8.11060606,3.0975,0.041207105,"3","1"
3.76,7.28641975333333,3.803333333,1.603330987,"3","1"
3.41,6.82469135833333,3.155454545,-1.000208817,"3","1"
3.78,7.6,3.88,-1.000208817,"3","1"
3.23,6.87948718,3.259655172,0.041207105,"3","1"
4,6.204761905,3.917419355,1.603330987,"3","1"
3.45,7.70714285666667,3.71,-1.520916778,"3","1"
3.95,7.21851851833333,3.730625,-1.000208817,"3","1"
